Rvein,Rmeso
4.301071066604119e-4,4.354254616881158e-9
1.5444458295983402e-4,3.508599655300615e-9
2.5310464795167395e-5,2.5366534852944002e-9
9.649539848024726e-5,6.678690245417516e-9
1.375229383339812e-4,4.014120849123671e-9
2.3136003905489106e-4,7.957079108807622e-9
1.8836288712003647e-4,4.409578053732022e-9
1.2504450380314844e-4,4.003674420377561e-9
2.5392713400449086e-4,5.474819952579604e-9
1.9940024915454332e-4,2.593045824207439e-9
2.8388518976856688e-5,6.060406305543161e-10
7.823990357851509e-5,3.069232071443428e-9
9.806092469338762e-5,3.5117689673425623e-9
4.118244024689951e-5,1.3759834013169767e-9
4.566955005622453e-5,1.4777450606315095e-9
1.1978548030082708e-4,3.9616327145140664e-9
2.469001100647591e-5,9.899658290969532e-10
2.6975630749524087e-4,6.0884715242200595e-9
1.673673914568231e-4,7.240909134263442e-9
3.1192609215942486e-5,2.116722504352928e-9
7.938812183949504e-5,5.911472115194738e-9
1.900088413792184e-4,9.486521814566052e-9
1.0628191656433377e-4,7.405992785127924e-9
8.259385425336279e-5,6.322354065401478e-9
1.3056386933690074e-4,6.231906950666465e-9
1.8859969845790505e-4,8.151759455092406e-9
1.1896293586437805e-4,8.183013713695231e-9
3.712484622813346e-5,1.4916132571332954e-9
1.5290432861789503e-4,8.47156601944094e-9
2.4144061096666148e-4,6.6053375505631085e-9
1.0007510397284721e-4,5.042575962201855e-9
1.6023775834668555e-4,3.782760779579684e-9
1.7216336606771374e-4,4.83657560281063e-9
1.8758246093201344e-4,6.817583600222575e-9
2.3776036252113453e-4,5.314797192822381e-9
1.8998028354283626e-4,3.095872299687489e-9
1.1400338297150714e-4,3.982213639081758e-9
4.5776065532010174e-5,2.151681231579422e-9
2.3966487268714683e-4,6.603731182476212e-9
1.06884873811749e-4,3.095767207667797e-9
7.18697885500611e-5,1.3789069643023864e-9
1.1219972684475917e-4,4.9815263490392015e-9
1.1450872059187151e-4,4.8570379809857694e-9
5.041705512031852e-5,2.3355418284465677e-9
3.201784624329858e-5,1.7282088066506585e-9
1.586220928469366e-4,3.769346997947659e-9
1.0187120757590723e-4,4.001148886144174e-9
3.58800694311571e-4,4.834514345194256e-9
1.495480513848556e-4,1.0700314288306352e-8
5.999857580915711e-4,6.120409733976972e-9
1.4009638221861405e-4,1.0011941861873947e-8
1.9891679381192572e-4,3.4592724940554667e-9
1.5312650161345844e-4,6.632434367470453e-9
1.9123956574291235e-4,1.0383108947739496e-8
1.6036459464280426e-4,7.547203197176469e-9
1.1356400734139262e-4,3.082410473707759e-9
1.4860671123003167e-5,9.780540262842392e-10
6.139399821620098e-5,2.687288967496199e-9
4.1395156116281687e-4,6.40080826808295e-9
6.794707626831457e-5,5.305254672489806e-9
1.1442383806395302e-4,1.707121924323517e-8
5.040410206522309e-4,7.176790710408257e-9
1.5807158050208463e-4,4.210595560688668e-9
2.7996961522479246e-5,1.9729959182400547e-9
2.0825853308901687e-4,3.434273330292192e-9
1.0244667710316405e-4,4.014001503035995e-9
4.1716682548855256e-5,2.217945018583584e-9
5.80026652643822e-4,7.4412263422187e-9
8.079248596726191e-5,4.7442761864255175e-9
1.2757284658899295e-4,4.1277799982278995e-9
7.942489383740806e-5,4.661625556124459e-9
1.7200234238302285e-4,3.6380047287846205e-9
1.0282317625285246e-4,1.4331742320931237e-8
7.620219159130125e-5,5.2573053345008704e-9
1.4565570623329042e-4,3.409850765543694e-9
1.0847969704140175e-4,9.140466102071847e-9
2.4417300827149735e-4,8.808008799793803e-9
2.18167163228531e-4,9.165474248929145e-9
1.1646164406153298e-4,2.4215082175285967e-9
2.895594356842759e-5,2.65152037767793e-9
6.341500374986701e-5,5.7655244187737515e-9
